category,skill,level
Programming,Java,Advanced
Programming,Python,Intermediate
Web Development,HTML & CSS,Intermediate
Web Development,JavaScript,Intermediate
Web Development,React JS,Beginner
Framework,Spring Boot,Advanced
Framework,Spring MVC,Intermediate
Cloud,AWS,Intermediate
Cloud,GCP,Intermediate
Database,SQL,Intermediate
Database,MongoDb,Beginner
Database,PostgreSQL,Intermediate
Testing,JUnit,Intermediate
Other,API Integration,Intermediate
Other,MS Office,Advanced
Interest,IOT,Intermediate
Interest,Microservices,Intermediate
